"Notes","MCD - ICD Chapter","MCD - ICD Chapter Code","Sex","Sex Code","Month","Month Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Diseases of the eye and adnexa","H00-H59","Male","M","Jan., 2021","2021/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Feb., 2021","2021/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Mar., 2021","2021/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Aug., 2021","2021/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Nov., 2021","2021/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the eye and adnexa","H00-H59","Male","M","Dec., 2021","2021/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Jan., 2021","2021/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Feb., 2021","2021/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Mar., 2021","2021/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Jun., 2021","2021/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Aug., 2021","2021/08",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Sep., 2021","2021/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Female","F","Dec., 2021","2021/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Jan., 2021","2021/01",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Feb., 2021","2021/02",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Mar., 2021","2021/03",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Apr., 2021","2021/04",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","May, 2021","2021/05",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Jun., 2021","2021/06",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Jul., 2021","2021/07",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Sep., 2021","2021/09",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Oct., 2021","2021/10",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Nov., 2021","2021/11",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the ear and mastoid process","H60-H95","Male","M","Dec., 2021","2021/12",0,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Jan., 2021","2021/01",170,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Feb., 2021","2021/02",135,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Mar., 2021","2021/03",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Apr., 2021","2021/04",133,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","May, 2021","2021/05",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Diseases of the circulatory system","I00-I99","Female","F","Jun., 2021","2021/06",129,Not Applicable,Not Applicable,Not Applicable,Not Applicable
